 Year month day hour variable watershed value
  2009 10  1   6.000 swir             2   0.00000    
  2009 10  1   6.000 swir             3   0.00000    
  2009 10  1   6.000 swigm            1   0.00000    
  2009 10  1   6.000 swigm            2   0.00000    
  2009 10  1   6.000 swigm            3   0.00000    
  2009 10  1   7.000 p                1   0.00000    
  2009 10  1   7.000 p                2   0.00000    
  2009 10  1   7.000 p                3   0.00000    
  2009 10  1   7.000 swe              1   0.00000    
  2009 10  1   7.000 swe              2   0.00000    
  2009 10  1   7.000 swe              3   0.00000    
  2009 10  1   7.000 swit             1   0.00000    
  2009 10  1   7.000 swit             2   0.00000    
  2009 10  1   7.000 swit             3   0.00000    
  2009 10  1   7.000 swism            1   0.00000    
  2009 10  1   7.000 swism            2   0.00000    
  2009 10  1   7.000 swism            3   0.00000    
  2009 10  1   7.000 swir             1   0.00000    
  2009 10  1   7.000 swir             2   0.00000    
  2009 10  1   7.000 swir             3   0.00000    
  2009 10  1   7.000 swigm            1   0.00000    
  2009 10  1   7.000 swigm            2   0.00000    
  2009 10  1   7.000 swigm            3   0.00000    
  2009 10  1   8.000 p                1   0.00000    
  2009 10  1   8.000 p                2   0.00000    
  2009 10  1   8.000 p                3   0.00000    
  2009 10  1   8.000 swe              1   0.00000    
  2009 10  1   8.000 swe              2   0.00000    
  2009 10  1   8.000 swe              3   0.00000    
  2009 10  1   8.000 swit             1   0.00000    
  2009 10  1   8.000 swit             2   0.00000    
  2009 10  1   8.000 swit             3   0.00000    
  2009 10  1   8.000 swism            1   0.00000    
  2009 10  1   8.000 swism            2   0.00000    
  2009 10  1   8.000 swism            3   0.00000    
  2009 10  1   8.000 swir             1   0.00000    
  2009 10  1   8.000 swir             2   0.00000    
  2009 10  1   8.000 swir             3   0.00000    
  2009 10  1   8.000 swigm            1   0.00000    
  2009 10  1   8.000 swigm            2   0.00000    
  2009 10  1   8.000 swigm            3   0.00000    
  2009 10  1   9.000 p                1   0.00000    
  2009 10  1   9.000 p                2   0.00000    
  2009 10  1   9.000 p                3   0.00000    
  2009 10  1   9.000 swe              1   0.00000    
  2009 10  1   9.000 swe              2   0.00000    
  2009 10  1   9.000 swe              3   0.00000    
  2009 10  1   9.000 swit             1   0.00000    
  2009 10  1   9.000 swit             2   0.00000    
  2009 10  1   9.000 swit             3   0.00000    
  2009 10  1   9.000 swism            1   0.00000    
  2009 10  1   9.000 swism            2   0.00000    
  2009 10  1   9.000 swism            3   0.00000    
  2009 10  1   9.000 swir             1   0.00000    
  2009 10  1   9.000 swir             2   0.00000    
  2009 10  1   9.000 swir             3   0.00000    
  2009 10  1   9.000 swigm            1   0.00000    
  2009 10  1   9.000 swigm            2   0.00000    
  2009 10  1   9.000 swigm            3   0.00000    
  2009 10  1  10.000 p                1   0.00000    
  2009 10  1  10.000 p                2   0.00000    
  2009 10  1  10.000 p                3   0.00000    
  2009 10  1  10.000 swe              1   0.00000    
  2009 10  1  10.000 swe              2   0.00000    
  2009 10  1  10.000 swe              3   0.00000    
  2009 10  1  10.000 swit             1   0.00000    
  2009 10  1  10.000 swit             2   0.00000    
  2009 10  1  10.000 swit             3   0.00000    
  2009 10  1  10.000 swism            1   0.00000    
  2009 10  1  10.000 swism            2   0.00000    
  2009 10  1  10.000 swism            3   0.00000    
  2009 10  1  10.000 swir             1   0.00000    
  2009 10  1  10.000 swir             2   0.00000    
  2009 10  1  10.000 swir             3   0.00000    
  2009 10  1  10.000 swigm            1   0.00000    
  2009 10  1  10.000 swigm            2   0.00000    
  2009 10  1  10.000 swigm            3   0.00000    
  2009 10  1  11.000 p                1  0.254065E-02
  2009 10  1  11.000 p                2  0.127033E-02
  2009 10  1  11.000 p                3  0.254065E-02
  2009 10  1  11.000 swe              1  0.811338E-03
  2009 10  1  11.000 swe              2  0.405669E-03
  2009 10  1  11.000 swe              3  0.823589E-03
  2009 10  1  11.000 swit             1   0.00000    
  2009 10  1  11.000 swit             2   0.00000    
  2009 10  1  11.000 swit             3   0.00000    
  2009 10  1  11.000 swism            1   0.00000    
  2009 10  1  11.000 swism            2   0.00000    
  2009 10  1  11.000 swism            3   0.00000    
  2009 10  1  11.000 swir             1   0.00000    
  2009 10  1  11.000 swir             2   0.00000    
  2009 10  1  11.000 swir             3   0.00000    
  2009 10  1  11.000 swigm            1   0.00000    
  2009 10  1  11.000 swigm            2   0.00000    
  2009 10  1  11.000 swigm            3   0.00000    
  2009 10  1  12.000 p                1   0.00000    
  2009 10  1  12.000 p                2   0.00000    
  2009 10  1  12.000 p                3   0.00000    
